Method,Dataset,TLB
isax,ArrowHead,0.7429974284573947
sofa_equi-width_variance_dynamic_programming,ArrowHead,0.925888991349141
sofa_equi-width_variance_linear_scale,ArrowHead,0.933914379543388
sofa_equi-width_variance_log_scale,ArrowHead,0.9338910204567215
sofa_equi-width_variance_sqrt_scale,ArrowHead,0.9309505704155429
sofa_equi-width_pca_dynamic_programming,ArrowHead,0.9339907139998153
sofa_equi-width_pca_linear_scale,ArrowHead,0.9485166694603898
sofa_equi-width_pca_log_scale,ArrowHead,0.9485166694603898
sofa_equi-width_pca_sqrt_scale,ArrowHead,0.9424095438042437
isax,Beef,0.7179948548002989
sofa_equi-width_variance_dynamic_programming,Beef,0.8658424696889506
sofa_equi-width_variance_linear_scale,Beef,0.8774376714174393
sofa_equi-width_variance_log_scale,Beef,0.8662587574555926
sofa_equi-width_variance_sqrt_scale,Beef,0.8650925585643433
sofa_equi-width_pca_dynamic_programming,Beef,0.9545422496213509
sofa_equi-width_pca_linear_scale,Beef,0.9894021792387582
sofa_equi-width_pca_log_scale,Beef,0.9894021792387582
sofa_equi-width_pca_sqrt_scale,Beef,0.9885737648656666
isax,BeetleFly,0.7486909398907654
sofa_equi-width_variance_dynamic_programming,BeetleFly,0.8393444095047841
sofa_equi-width_variance_linear_scale,BeetleFly,0.8398579831446205
sofa_equi-width_variance_log_scale,BeetleFly,0.8384915504010364
sofa_equi-width_variance_sqrt_scale,BeetleFly,0.8393444095047841
sofa_equi-width_pca_dynamic_programming,BeetleFly,0.8802816625438847
sofa_equi-width_pca_linear_scale,BeetleFly,0.8803119584182864
sofa_equi-width_pca_log_scale,BeetleFly,0.8803119584182864
sofa_equi-width_pca_sqrt_scale,BeetleFly,0.8795724735783029
isax,BirdChicken,0.8704882637073894
sofa_equi-width_variance_dynamic_programming,BirdChicken,0.9605775073837628
sofa_equi-width_variance_linear_scale,BirdChicken,0.9670635320297505
sofa_equi-width_variance_log_scale,BirdChicken,0.9632661341549872
sofa_equi-width_variance_sqrt_scale,BirdChicken,0.9632661341549872
sofa_equi-width_pca_dynamic_programming,BirdChicken,0.9523760494783071
sofa_equi-width_pca_linear_scale,BirdChicken,0.9631658318652481
sofa_equi-width_pca_log_scale,BirdChicken,0.9631658318652481
